CntyName,DistName,Total SAT Score,COMMTYPE,Graduation Rate,Median Income by County
Hardin County,Lumberton ISD,982,Rural,84.7,"$60,692 "
Hardin County,West Hardin County CISD,867,Rural,95.8,"$60,692 "
Harris County,Faith Christian Academy,860,Rural,95.2,"$56,415 "
Harris County,George I Sanchez Charter,773,Rural,94.2,"$56,415 "
Harris County,Girls & Boys Preparatory Academy,696,Rural,92.2,"$56,415 "
Harris County,Raul Yzaguirre School For Success,757,Rural,96.3,"$56,415 "
Harris County,Bay Area Charter Inc,873,Non-metropolitan Stable,97.2,"$56,415 "
Harris County,Kipp Inc Charter,863,Independent Town,99.1,"$56,415 "
Harris County,Houston Heights High School,775,Other Central City Suburban,98.4,"$56,415 "
Harris County,Jamie's House Charter School,NAN,Other Central City Suburban,94.9,"$56,415 "
Harris County,Houston Gateway Academy Inc,841,Rural,91.3,"$56,415 "
Harris County,Calvin Nelms Charter Schools,934,Major Suburban,85.7,"$56,415 "
Harris County,Southwest School,874,Major Suburban,91.5,"$56,415 "
Harris County,Yes Prep Public Schools Inc,956,Major Suburban,97.2,"$56,415 "
Harris County,Harmony Science Academy,926,Major Suburban,96.2,"$56,415 "
Harris County,Harmony School Of Excellence,1015,Major Suburban,100,"$56,415 "
Harris County,Harmony School Of Science - Housto,1033,Major Suburban,96,"$56,415 "
Harris County,Victory Prep,761,Major Suburban,100,"$56,415 "
Harris County,The Pro-Vision Academy,778,Major Suburban,93.3,"$56,415 "
Harris County,Aldine ISD,791,Major Urban,100,"$56,415 "
Harris County,Alief ISD,881,Major Suburban,87.4,"$56,415 "
Harris County,Channelview ISD,896,Major Suburban,100,"$56,415 "
Harris County,Crosby ISD,949,Major Suburban,100,"$56,415 "
Harris County,Cypress-Fairbanks ISD,1015,Major Suburban,100,"$56,415 "
Harris County,Deer Park ISD,975,Major Suburban,97.4,"$56,415 "
Harris County,Galena Park ISD,875,Major Suburban,97.1,"$56,415 "
Harris County,Goose Creek CISD,868,Major Suburban,100,"$56,415 "
Harris County,Houston ISD,848,Major Suburban,93.8,"$56,415 "
Harris County,Humble ISD,996,Major Suburban,100,"$56,415 "
Harris County,Katy ISD,1075,Non-metropolitan Stable,93.8,"$56,415 "
Harris County,Klein ISD,1018,Rural,97.5,"$56,415 "
Harris County,La Porte ISD,956,Independent Town,94.7,"$56,415 "
Harris County,Pasadena ISD,895,Non-metropolitan Stable,96,"$56,415 "
Harris County,Spring ISD,785,Other Central City Suburban,97.1,"$56,415 "
Harris County,Spring Branch ISD,1002,Rural,85.9,"$56,415 "
Harris County,Tomball ISD,1035,Non-metropolitan Stable,94.2,"$56,415 "
Harris County,Sheldon ISD,831,Rural,0,"$56,415 "
Harris County,Huffman ISD,967,Rural,94.2,"$56,415 "
Harrison County,Marshall ISD,887,Rural,87.2,"$47,181 "
Harrison County,Waskom ISD,1060,Rural,86.1,"$47,181 "
Harrison County,Hallsville ISD,973,Rural,90.9,"$47,181 "
Harrison County,Harleton ISD,1000,Other Central City,79.3,"$47,181 "
Harrison County,Elysian Fields ISD,840,Major Suburban,93.8,"$47,181 "
Hartley County,Hartley ISD,NAN,Other Central City Suburban,91.7,"$70,121 "
Haskell County,Haskell CISD,NAN,Major Suburban,98.7,"$34,653 "
Haskell County,Paint Creek ISD,NAN,Non-metropolitan Fast Growing,99.3,"$34,653 "
Hays County,Katherine Anne Porter School,996,Independent Town,82.9,"$64,864 "
Hays County,San Marcos CISD,940,Other Central City Suburban,91.7,"$64,864 "
Hays County,Dripping Springs ISD,1105,Rural,86.1,"$64,864 "
Hays County,Wimberley ISD,1088,Non-metropolitan Stable,92.5,"$64,864 "
Hays County,Hays CISD,970,Non-metropolitan Stable,92.7,"$64,864 "
Hemphill County,Canadian ISD,1017,Rural,90.1,"$74,856 "
Henderson County,Athens ISD,987,Rural,90.4,"$43,425 "
Henderson County,Brownsboro ISD,953,Rural,88.7,"$43,425 "
Henderson County,Cross Roads ISD,956,Other Central City Suburban,80.5,"$43,425 "
Henderson County,Eustace ISD,982,Other Central City Suburban,95.2,"$43,425 "
Henderson County,Malakoff ISD,957,Other Central City,94,"$43,425 "
Henderson County,Trinidad ISD,NAN,Other Central City Suburban,94.1,"$43,425 "
Henderson County,Lapoynor ISD,929,Other Central City,92.7,"$43,425 "
Hidalgo County,Ignite Public Schools And Communit,NAN,Other Central City Suburban,90.9,"$35,928 "
Hidalgo County,Idea Public Schools,898,Other Central City Suburban,85.7,"$35,928 "
Hidalgo County,Vanguard Academy,993,Other Central City,89.9,"$35,928 "
Hidalgo County,Donna ISD,945,Non-metropolitan Stable,96.6,"$35,928 "
Hidalgo County,Edcouch-Elsa ISD,843,Other Central City Suburban,88.6,"$35,928 "
Hidalgo County,Edinburg CISD,953,Other Central City,97.4,"$35,928 "
Hidalgo County,Hidalgo ISD,832,Other Central City Suburban,88.6,"$35,928 "
Hidalgo County,McAllen ISD,943,Rural,100,"$35,928 "
Hidalgo County,Mercedes ISD,884,Other Central City Suburban,99.1,"$35,928 "
Hidalgo County,Mission CISD,905,Other Central City Suburban,93,"$35,928 "
Hidalgo County,Pharr-San Juan-Alamo ISD,837,Rural,97.3,"$35,928 "
Hidalgo County,Progreso ISD,875,Rural,88.9,"$35,928 "
Hidalgo County,Sharyland ISD,947,Rural,100,"$35,928 "
Hidalgo County,La Joya ISD,876,Independent Town,96.6,"$35,928 "
Hidalgo County,Weslaco ISD,1000,Rural,100,"$35,928 "
Hidalgo County,La Villa ISD,922,Rural,100,"$35,928 "
Hidalgo County,Monte Alto ISD,886,Rural,90,"$35,928 "
Hidalgo County,Valley View ISD,910,Rural,89.1,"$35,928 "
Hill County,Abbott ISD,1066,Independent Town,98.1,"$47,338 "
Hill County,Bynum ISD,NAN,Rural,96.5,"$47,338 "
Hill County,Hillsboro ISD,904,Rural,88.5,"$47,338 "
Hill County,Hubbard ISD,1004,Rural,86.8,"$47,338 "
Hill County,Itasca ISD,894,Rural,95,"$47,338 "
Hill County,Mount Calm ISD,NAN,Non-metropolitan Stable,98.4,"$47,338 "
Hill County,Whitney ISD,1026,Rural,96.2,"$47,338 "
Hill County,Aquilla ISD,881,Non-metropolitan Fast Growing,94.9,"$47,338 "
Hill County,Blum ISD,980,Rural,97.6,"$47,338 "
Hill County,Penelope ISD,868,Rural,91.7,"$47,338 "
Hockley County,Anton ISD,NAN,Other Central City Suburban,95.8,"$46,856 "
Hockley County,Levelland ISD,924,Non-metropolitan Fast Growing,67.7,"$46,856 "
Hockley County,Ropes ISD,917,Independent Town,99.8,"$46,856 "
Hockley County,Smyer ISD,992,Independent Town,100,"$46,856 "
Hockley County,Sundown ISD,1042,Rural,82.7,"$46,856 "
Hockley County,Whitharral ISD,1173,Rural,90.6,"$46,856 "
Hood County,Granbury ISD,996,Rural,90.1,"$57,346 "
Hood County,Lipan ISD,1037,Rural,95.7,"$57,346 "
Hood County,Tolar ISD,1032,Rural,92.8,"$57,346 "
Hopkins County,Sulphur Springs ISD,1039,Rural,97.8,"$46,582 "
Hopkins County,Cumby ISD,869,Non-metropolitan Stable,88.7,"$46,582 "
Hopkins County,Miller Grove ISD,940,Rural,92,"$46,582 "
Hopkins County,Sulphur Bluff ISD,927,Rural,83.6,"$46,582 "
Houston County,Crockett ISD,832,Rural,97,"$34,587 "
Houston County,Grapeland ISD,799,Rural,86.1,"$34,587 "
Houston County,Lovelady ISD,884,Independent Town,90.8,"$34,587 "
Houston County,Latexo ISD,1008,Non-metropolitan Stable,95.2,"$34,587 "
Houston County,Kennard ISD,901,Rural,93,"$34,587 "
Howard County,Big Spring ISD,1075,Rural,95.1,"$51,863 "
Howard County,Coahoma ISD,1020,Rural,100,"$51,863 "
Howard County,Forsan ISD,983,Rural,100,"$51,863 "
Hudspeth County,Ft Hancock ISD,806,Non-metropolitan Stable,96.2,"$35,252 "
Hudspeth County,Sierra Blanca ISD,903,Rural,98.1,"$35,252 "
Hunt County,Phoenix Charter School,890,Non-metropolitan Stable,90.3,"$51,827 "
Hunt County,Caddo Mills ISD,1014,Independent Town,92.6,"$51,827 "
Hunt County,Celeste ISD,993,Non-metropolitan Stable,100,"$51,827 "
Hunt County,Commerce ISD,961,Other Central City Suburban,94.3,"$51,827 "
Hunt County,Greenville ISD,958,Rural,96,"$51,827 "
Hunt County,Lone Oak ISD,964,Rural,96.3,"$51,827 "
Hunt County,Quinlan ISD,964,Rural,87.5,"$51,827 "
Hunt County,Campbell ISD,938,Rural,93.8,"$51,827 "
Hunt County,Bland ISD,1008,Non-metropolitan Stable,83.9,"$51,827 "
Hunt County,Boles ISD,937,Rural,96,"$51,827 "
Hutchinson County,Borger ISD,981,Rural,100,"$53,936 "
Hutchinson County,Sanford-Fritch ISD,888,Rural,97.1,"$53,936 "
Hutchinson County,Plemons-Stinnett-Phillips CISD,NAN,Rural,92.3,"$53,936 "
Irion County,Irion County ISD,1128,Rural,95.5,"$67,249 "
Jack County,Bryson ISD,872,Non-metropolitan Stable,100,"$46,975 "
Jack County,Jacksboro ISD,946,Rural,100,"$46,975 "
Jack County,Perrin-Whitt CISD,1034,Non-metropolitan Stable,91.7,"$46,975 "
Jackson County,Edna ISD,933,Rural,88,"$53,143 "
Jackson County,Ganado ISD,NAN,Non-metropolitan Stable,97.3,"$53,143 "
Jackson County,Industrial ISD,1037,Rural,100,"$53,143 "
Jasper County,Brookeland ISD,987,Non-metropolitan Stable,98.1,"$44,909 "
Jasper County,Buna ISD,974,Independent Town,100,"$44,909 "
Jasper County,Jasper ISD,967,Non-metropolitan Stable,100,"$44,909 "
Jasper County,Kirbyville CISD,1160,Rural,94.3,"$44,909 "
Jasper County,Evadale ISD,874,Rural,95,"$44,909 "
Jeff Davis County,Ft Davis ISD,984,Rural,100,"$46,688 "
Jeff Davis County,Valentine ISD,800,Other Central City Suburban,100,"$46,688 "
Jefferson County,Texas Academy Of Leadership In The,1248,Other Central City Suburban,81.3,"$46,198 "
Jefferson County,Tekoa Academy Of Accelerated Studi,640,Other Central City Suburban,90.8,"$46,198 "
Jefferson County,Bob Hope School,798,Other Central City,96.6,"$46,198 "
Jefferson County,Nederland ISD,950,Rural,94,"$46,198 "
Jefferson County,Port Arthur ISD,831,Other Central City Suburban,91.4,"$46,198 "
Jefferson County,Port Neches-Groves ISD,985,Non-metropolitan Stable,100,"$46,198 "
Jefferson County,Beaumont ISD,889,Independent Town,100,"$46,198 "
Jefferson County,Sabine Pass ISD,923,Rural,97,"$46,198 "
Jefferson County,Hamshire-Fannett ISD,943,Non-metropolitan Stable,92.3,"$46,198 "
Jim Wells County,Alice ISD,967,Rural,96.6,"$40,056 "
Jim Wells County,Ben Bolt-Palito Blanco ISD,945,Rural,94.8,"$40,056 "
Jim Wells County,Orange Grove ISD,988,Other Central City Suburban,100,"$40,056 "
Johnson County,Alvarado ISD,918,Other Central City,86,"$59,809 "
Johnson County,Burleson ISD,988,Other Central City Suburban,97.6,"$59,809 "
Johnson County,Cleburne ISD,941,Non-metropolitan Stable,93.8,"$59,809 "
Johnson County,Grandview ISD,988,Other Central City Suburban,100,"$59,809 "
Johnson County,Joshua ISD,992,Non-metropolitan Fast Growing,97.9,"$59,809 "
Johnson County,Keene ISD,977,Rural,95.3,"$59,809 "
Johnson County,Rio Vista ISD,960,Other Central City Suburban,96.7,"$59,809 "
Johnson County,Venus ISD,898,Major Suburban,97.8,"$59,809 "
Johnson County,Godley ISD,980,Rural,100,"$59,809 "
Jones County,Anson ISD,1070,Rural,95.8,"$40,931 "
Jones County,Hamlin ISD,1095,Rural,100,"$40,931 "
Jones County,Hawley ISD,921,Rural,100,"$40,931 "
Jones County,Lueders-Avoca ISD,835,Rural,95,"$40,931 "
Jones County,Stamford ISD,NAN,Non-metropolitan Stable,94.1,"$40,931 "
Karnes County,Karnes City ISD,878,Non-metropolitan Fast Growing,100,"$47,608 "
Karnes County,Kenedy ISD,870,Rural,100,"$47,608 "
Karnes County,Runge ISD,NAN,Rural,100,"$47,608 "
Karnes County,Falls City ISD,986,Major Suburban,95,"$47,608 "
Kaufman County,Crandall ISD,960,Major Suburban,93.8,"$62,363 "
Kaufman County,Forney ISD,962,Other Central City Suburban,100,"$62,363 "
Kaufman County,Kaufman ISD,937,Other Central City Suburban,100,"$62,363 "
Kaufman County,Kemp ISD,920,Other Central City Suburban,77.8,"$62,363 "
Kaufman County,Mabank ISD,979,Other Central City,100,"$62,363 "
Kaufman County,Terrell ISD,893,Other Central City Suburban,95.5,"$62,363 "
Kaufman County,Scurry-Rosser ISD,940,Major Suburban,79.7,"$62,363 "
Kendall County,Meadowland Charter School,NAN,Independent Town,95.1,"$83,805 "
Kendall County,Boerne ISD,1050,Rural,85.2,"$83,805 "
Kendall County,Comfort ISD,971,Rural,100,"$83,805 "
Kerr County,Center Point ISD,909,Rural,100,"$50,461 "
Kerr County,Kerrville ISD,1016,Independent Town,84.8,"$50,461 "
Kerr County,Ingram ISD,874,Non-metropolitan Stable,87.3,"$50,461 "
Kimble County,Junction ISD,859,Rural,86.8,"$40,118 "
Kinney County,Brackett ISD,934,Rural,98,"$40,612 "
Kleberg County,Kingsville ISD,887,Rural,93.3,"$44,106 "
Kleberg County,Riviera ISD,833,Independent Town,97.1,"$44,106 "
Kleberg County,Santa Gertrudis ISD,981,Rural,95.8,"$44,106 "
Knox County,Knox City-O'Brien CISD,NAN,Rural,91.9,"$37,586 "
Knox County,Munday CISD,NAN,Non-metropolitan Fast Growing,97.9,"$37,586 "
La Salle County,Cotulla ISD,836,Rural,100,"$39,926 "
Lamar County,Chisum ISD,933,Rural,95.1,"$41,887 "
Lamar County,Roxton ISD,NAN,Rural,92.1,"$41,887 "
Lamar County,Paris ISD,1049,Rural,96.2,"$41,887 "
Lamar County,North Lamar ISD,980,Non-metropolitan Stable,89.4,"$41,887 "
Lamar County,Prairiland ISD,952,Rural,94.3,"$41,887 "
Lamb County,Littlefield ISD,884,Independent Town,95,"$37,846 "
Lamb County,Olton ISD,NAN,Independent Town,90.6,"$37,846 "
Lamb County,Sudan ISD,NAN,Non-metropolitan Stable,98,"$37,846 "
Lampasas County,Lampasas ISD,1009,Rural,100,"$52,637 "
Lampasas County,Lometa ISD,814,Non-metropolitan Stable,97.6,"$52,637 "
Lavaca County,Hallettsville ISD,1033,Rural,87.8,"$48,975 "
Lavaca County,Moulton ISD,990,Rural,100,"$48,975 "
Lavaca County,Shiner ISD,974,Other Central City Suburban,100,"$48,975 "
Lee County,Giddings ISD,983,Rural,99.1,"$51,768 "
Lee County,Lexington ISD,933,Other Central City Suburban,97.6,"$51,768 "
Lee County,Dime Box ISD,1040,Non-metropolitan Fast Growing,79.1,"$51,768 "
Leon County,Buffalo ISD,909,Rural,89.5,"$44,891 "
Leon County,Centerville ISD,894,Rural,91.8,"$44,891 "
Leon County,Normangee ISD,937,Rural,87.2,"$44,891 "
Leon County,Oakwood ISD,698,Rural,100,"$44,891 "
Leon County,Leon ISD,929,Rural,68.8,"$44,891 "
Liberty County,Cleveland ISD,799,Non-metropolitan Stable,99.3,"$48,592 "
Liberty County,Dayton ISD,917,Non-metropolitan Stable,98.5,"$48,592 "
Liberty County,Hardin ISD,896,Rural,90,"$48,592 "
Liberty County,Hull-Daisetta ISD,900,Non-metropolitan Stable,95.7,"$48,592 "
Liberty County,Liberty ISD,908,Rural,95.4,"$48,592 "
Liberty County,Tarkington ISD,957,Rural,94.1,"$48,592 "
Limestone County,Coolidge ISD,700,Rural,98.1,"$39,382 "
Limestone County,Groesbeck ISD,924,Rural,100,"$39,382 "
Limestone County,Mexia ISD,920,Other Central City Suburban,93,"$39,382 "
Live Oak County,George West ISD,923,Independent Town,86.1,"$51,953 "
Live Oak County,Three Rivers ISD,1028,Rural,91.7,"$51,953 "
Llano County,Llano ISD,1011,Non-metropolitan Stable,97.6,"$48,135 "
Lubbock County,Texas Tech University High School,1106,Rural,95.8,"$48,587 "
Lubbock County,South Plains Academy Charter Distr,748,Non-metropolitan Stable,100,"$48,587 "
Lubbock County,Lubbock ISD,876,Non-metropolitan Stable,97.1,"$48,587 "
Lubbock County,New Deal ISD,974,Rural,100,"$48,587 "
Lubbock County,Slaton ISD,932,Non-metropolitan Stable,93.3,"$48,587 "
Lubbock County,Lubbock-Cooper ISD,973,Non-metropolitan Stable,92.4,"$48,587 "
Lubbock County,Frenship ISD,1001,Rural,98.4,"$48,587 "
Lubbock County,Roosevelt ISD,911,Rural,100,"$48,587 "
Lubbock County,Shallowater ISD,1042,Rural,95.1,"$48,587 "
Lubbock County,Idalou ISD,1028,Rural,97.4,"$48,587 "
Lynn County,O'Donnell ISD,665,Non-metropolitan Stable,100,"$39,869 "
Lynn County,Tahoka ISD,883,Rural,96.8,"$39,869 "
Lynn County,New Home ISD,1157,Non-metropolitan Stable,97.6,"$39,869 "
Madison County,Madisonville CISD,932,Other Central City,100,"$42,429 "
Madison County,North Zulch ISD,882,Rural,88.5,"$42,429 "
Marion County,Jefferson ISD,NAN,Non-metropolitan Stable,97.5,"$34,919 "
Martin County,Stanton ISD,995,Other Central City Suburban,95.7,"$58,760 "
Martin County,Grady ISD,1150,Other Central City Suburban,97.4,"$58,760 "
Mason County,Mason ISD,949,Other Central City Suburban,95.3,"$44,818 "
Matagorda County,Bay City ISD,939,Other Central City Suburban,96.1,"$46,324 "
Matagorda County,Tidehaven ISD,1048,Other Central City Suburban,100,"$46,324 "
Matagorda County,Palacios ISD,915,Rural,100,"$46,324 "
Matagorda County,Van Vleck ISD,919,Rural,92.7,"$46,324 "
Maverick County,Eagle Pass ISD,872,Non-metropolitan Fast Growing,97.7,"$35,654 "
McCulloch County,Brady ISD,924,Rural,100,"$40,125 "
McCulloch County,Rochelle ISD,NAN,Non-metropolitan Stable,98.2,"$40,125 "
McCulloch County,Lohn ISD,840,Rural,82.2,"$40,125 "
McLennan County,Rapoport Academy Public School,1083,Non-metropolitan Stable,95.1,"$46,662 "
McLennan County,Harmony Science Acad (Waco),987,Other Central City Suburban,100,"$46,662 "
McLennan County,Crawford ISD,1079,Rural,97.3,"$46,662 "
McLennan County,Midway ISD,1022,Rural,96.1,"$46,662 "
McLennan County,La Vega ISD,800,Independent Town,94.7,"$46,662 "
McLennan County,Lorena ISD,996,Non-metropolitan Stable,92.9,"$46,662 "
McLennan County,Mart ISD,906,Rural,94.2,"$46,662 "
McLennan County,McGregor ISD,867,Non-metropolitan Stable,91.9,"$46,662 "
McLennan County,Moody ISD,1060,Non-metropolitan Stable,96.3,"$46,662 "
McLennan County,Riesel ISD,1028,Other Central City Suburban,92.9,"$46,662 "
McLennan County,Waco ISD,832,Non-metropolitan Stable,100,"$46,662 "
McLennan County,West ISD,1045,Rural,100,"$46,662 "
McLennan County,Axtell ISD,1015,Rural,98.6,"$46,662 "
McLennan County,Bruceville-Eddy ISD,918,Rural,83.7,"$46,662 "
McLennan County,China Spring ISD,1038,Other Central City Suburban,100,"$46,662 "
McLennan County,Connally ISD,911,Other Central City Suburban,72.9,"$46,662 "
McLennan County,Robinson ISD,988,Non-metropolitan Stable,89.9,"$46,662 "
McLennan County,Bosqueville ISD,989,Rural,97.6,"$46,662 "
McLennan County,Gholson ISD,924,Non-metropolitan Stable,95.2,"$46,662 "
McMullen County,McMullen County ISD,1016,Rural,97.6,"$67,249 "
Medina County,Devine ISD,915,Rural,96.8,"$51,304 "
Medina County,D'Hanis School,999,Other Central City,98.5,"$51,304 "
Medina County,Natalia ISD,871,Non-metropolitan Stable,100,"$51,304 "
Medina County,Hondo ISD,1071,Rural,97.4,"$51,304 "
Medina County,Medina Valley ISD,1028,Rural,100,"$51,304 "
Midland County,Midland ISD,988,Other Central City Suburban,100,"$68,729 "
Midland County,Greenwood ISD,964,Other Central City Suburban,100,"$68,729 "
Milam County,Cameron ISD,898,Other Central City Suburban,100,"$42,302 "
Milam County,Milano ISD,1044,Rural,98.7,"$42,302 "
Milam County,Rockdale ISD,895,Rural,68.8,"$42,302 "
Milam County,Thorndale ISD,924,Rural,94.9,"$42,302 "
Milam County,Buckholts ISD,1090,Rural,95.2,"$42,302 "
Mills County,Goldthwaite ISD,981,Non-metropolitan Stable,100,"$43,540 "
Mills County,Mullin ISD,NAN,Rural,100,"$43,540 "
Mills County,Priddy ISD,1050,Non-metropolitan Stable,91.8,"$43,540 "
Mitchell County,Colorado ISD,1040,Independent Town,90.6,"$41,262 "
Mitchell County,Westbrook ISD,NAN,Major Suburban,88.3,"$41,262 "
Montague County,Bowie ISD,907,Rural,98.5,"$46,237 "
Montague County,Nocona ISD,930,Other Central City,87.7,"$46,237 "
Montague County,Gold Burg ISD,1050,Other Central City Suburban,98.9,"$46,237 "
Montague County,Prairie Valley ISD,1113,Non-metropolitan Stable,100,"$46,237 "
Montague County,Forestburg ISD,NAN,Rural,83.3,"$46,237 "
Montague County,Saint Jo ISD,978,Rural,100,"$46,237 "
Montgomery County,Conroe ISD,1076,Non-metropolitan Stable,100,"$72,506 "
Montgomery County,Montgomery ISD,1034,Rural,98.2,"$72,506 "
Montgomery County,Willis ISD,940,Rural,99.6,"$72,506 "
Montgomery County,Magnolia ISD,1017,Rural,93.1,"$72,506 "
Montgomery County,Splendora ISD,948,Non-metropolitan Fast Growing,99.2,"$72,506 "
Montgomery County,New Caney ISD,927,Rural,97.9,"$72,506 "
Moore County,Dumas ISD,924,Non-metropolitan Stable,98.9,"$52,344 "
Moore County,Sunray ISD,1045,Rural,94.1,"$52,344 "
Morris County,Daingerfield-Lone Star ISD,790,Rural,95.7,"$38,255 "
Morris County,Pewitt CISD,1030,Non-metropolitan Stable,77.5,"$38,255 "
Motley County,Motley County ISD,967,Rural,96.9,"$37,464 "
Nacogdoches County,Chireno ISD,938,Rural,98.1,"$38,099 "
Nacogdoches County,Cushing ISD,986,Rural,85.9,"$38,099 "
Nacogdoches County,Garrison ISD,938,Rural,99.5,"$38,099 "
Nacogdoches County,Nacogdoches ISD,1005,Rural,91.5,"$38,099 "
Nacogdoches County,Woden ISD,1001,Rural,99.5,"$38,099 "
Nacogdoches County,Central Heights ISD,1052,Other Central City,100,"$38,099 "
Nacogdoches County,Martinsville ISD,NAN,Other Central City Suburban,100,"$38,099 "
Nacogdoches County,Douglass ISD,1008,Other Central City Suburban,100,"$38,099 "
Navarro County,Blooming Grove ISD,915,Other Central City Suburban,96.8,"$44,111 "
Navarro County,Corsicana ISD,898,Other Central City Suburban,90,"$44,111 "
Navarro County,Dawson ISD,925,Other Central City Suburban,86.7,"$44,111 "
Navarro County,Frost ISD,802,Non-metropolitan Stable,89.1,"$44,111 "
Navarro County,Kerens ISD,848,Rural,97.9,"$44,111 "
Navarro County,Mildred ISD,1076,Non-metropolitan Stable,94.7,"$44,111 "
Navarro County,Rice ISD,896,Non-metropolitan Stable,88.5,"$44,111 "
Newton County,Burkeville ISD,948,Rural,95.1,"$41,388 "
Newton County,Newton ISD,NAN,Rural,89.3,"$41,388 "
Newton County,Deweyville ISD,943,Rural,97.3,"$41,388 "
Nolan County,Roscoe Collegiate ISD,1000,Rural,94.4,"$40,969 "
Nolan County,Sweetwater ISD,1010,Independent Town,97.8,"$40,969 "
Nolan County,Blackwell CISD,NAN,Rural,100,"$40,969 "
Nolan County,Highland ISD,1118,Non-metropolitan Fast Growing,100,"$40,969 "
Nueces County,Bishop CISD,910,Rural,92.9,"$53,562 "
Nueces County,Calallen ISD,971,Rural,100,"$53,562 "
Nueces County,Corpus Christi ISD,909,Non-metropolitan Fast Growing,98.8,"$53,562 "
Nueces County,London ISD,1021,Independent Town,91.7,"$53,562 "
Nueces County,Port Aransas ISD,1024,Other Central City Suburban,93.8,"$53,562 "
Nueces County,Robstown ISD,928,Rural,95.3,"$53,562 "
Nueces County,Tuloso-Midway ISD,979,Non-metropolitan Fast Growing,95.8,"$53,562 "
Nueces County,Banquete ISD,1033,Rural,100,"$53,562 "
Nueces County,Flour Bluff ISD,1020,Rural,100,"$53,562 "
Nueces County,West Oso ISD,773,Rural,92.3,"$53,562 "
Ochiltree County,Perryton ISD,865,Rural,100,"$61,194 "
Oldham County,Boys Ranch ISD,945,Non-metropolitan Stable,94.3,"$54,212 "
Oldham County,Vega ISD,953,Rural,95.4,"$54,212 "
Orange County,Bridge City ISD,957,Non-metropolitan Fast Growing,90.6,"$53,611 "
Orange County,Orangefield ISD,994,Non-metropolitan Stable,95.1,"$53,611 "
Orange County,West Orange-Cove CISD,792,Rural,96.3,"$53,611 "
Orange County,Vidor ISD,955,Rural,91,"$53,611 "
Orange County,Little Cypress-Mauriceville CISD,976,Rural,97.6,"$53,611 "
Palo Pinto County,Gordon ISD,820,Non-metropolitan Stable,97.7,"$43,589 "
Palo Pinto County,Graford ISD,904,Non-metropolitan Stable,98.6,"$43,589 "
Palo Pinto County,Mineral Wells ISD,963,Other Central City,93.8,"$43,589 "
Palo Pinto County,Santo ISD,918,Rural,100,"$43,589 "
Palo Pinto County,Strawn ISD,1030,Non-metropolitan Fast Growing,100,"$43,589 "
Panola County,Panola Charter School,1076,Rural,96,"$47,780 "
Panola County,Beckville ISD,937,Non-metropolitan Stable,96.5,"$47,780 "
Panola County,Carthage ISD,1077,Other Central City Suburban,83.7,"$47,780 "
Panola County,Gary ISD,813,Non-metropolitan Stable,94.8,"$47,780 "
Parker County,Poolville ISD,922,Other Central City Suburban,93.9,"$67,735 "
Parker County,Springtown ISD,945,Other Central City Suburban,100,"$67,735 "
Parker County,Weatherford ISD,1000,Non-metropolitan Stable,96.7,"$67,735 "
Parker County,Millsap ISD,867,Rural,100,"$67,735 "
Parker County,Aledo ISD,1091,Rural,92.8,"$67,735 "
Parker County,Peaster ISD,1076,Rural,100,"$67,735 "
Parker County,Brock ISD,1048,Rural,100,"$67,735 "
Parmer County,Farwell ISD,NAN,Non-metropolitan Stable,97.5,"$48,344 "
Parmer County,Friona ISD,1080,Other Central City Suburban,100,"$48,344 "
Pecos County,Buena Vista ISD,936,Non-metropolitan Stable,94.5,"$45,414 "
Pecos County,Fort Stockton ISD,854,Other Central City Suburban,91.7,"$45,414 "
Pecos County,Iraan-Sheffield ISD,998,Independent Town,91.7,"$45,414 "
Polk County,Big Sandy ISD,853,Rural,94.9,"$43,014 "
Polk County,Goodrich ISD,870,Rural,100,"$43,014 "
Polk County,Corrigan-Camden ISD,864,Independent Town,90.3,"$43,014 "
Polk County,Leggett ISD,659,Rural,100,"$43,014 "
Polk County,Livingston ISD,906,Rural,100,"$43,014 "
Polk County,Onalaska ISD,943,Rural,35.7,"$43,014 "
Potter County,Amarillo ISD,865,Rural,100,"$41,563 "
Potter County,River Road ISD,1015,Non-metropolitan Stable,96.5,"$41,563 "
Potter County,Highland Park ISD,959,Rural,94.1,"$41,563 "
Potter County,Bushland ISD,1049,Rural,87.8,"$41,563 "
Presidio County,Marfa ISD,NAN,Other Central City Suburban,90.6,"$32,742 "
Presidio County,Presidio ISD,793,Other Central City,86.6,"$32,742 "
Rains County,Rains ISD,1029,Other Central City Suburban,98.7,"$47,354 "
Randall County,Canyon ISD,1035,Major Suburban,97.3,"$65,795 "
Reagan County,Reagan County ISD,1045,Other Central City Suburban,93.8,"$67,308 "
Real County,Big Springs Charter School,NAN,Other Central City Suburban,91,"$36,744 "
Real County,Leakey ISD,1160,Rural,91.1,"$36,744 "
Red River County,Rivercrest ISD,964,Rural,100,"$36,352 "
Red River County,Clarksville ISD,NAN,Rural,100,"$36,352 "
Red River County,Detroit ISD,NAN,Non-metropolitan Stable,100,"$36,352 "
Reeves County,Pecos-Barstow-Toyah ISD,839,Rural,90.5,"$40,092 "
Reeves County,Balmorhea ISD,935,Rural,95.9,"$40,092 "
Refugio County,Austwell-Tivoli ISD,1003,Non-metropolitan Stable,87.1,"$45,366 "
Refugio County,Woodsboro ISD,1010,Rural,91,"$45,366 "
